"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","item_name"
"","","","","","html-button-response","73","318963","0.0-9.0-2.3","594","<div style=""font-size:72px;"">
        <p>PAKISTAN</p>
        </div>","0","",""
"","","","","","html-keyboard-response","74","319470","0.0-9.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","75","320730","0.0-9.0-1.4","null","img/in.png","null","study_pic","INDIA"
"","","","","","html-button-response","76","321908","0.0-9.0-2.4","1175","<div style=""font-size:72px;"">
        <p>INDIA</p>
        </div>","0","",""
"","","","","","html-button-response","77","322756","0.0-10.0","846","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","78","323266","0.0-11.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","79","324527","0.0-11.0-1.0","null","img/rw.png","null","study_pic","RWANDA"
"","","","","","html-button-response","80","326262","0.0-11.0-2.0","1733","<div style=""font-size:72px;"">
        <p>RWANDA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","81","326767","0.0-11.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","82","328027","0.0-11.0-1.1","null","img/do.png","null","study_pic","DOMINICAN REPUBLIC"
"","","","","","html-button-response","83","328956","0.0-11.0-2.1","927","<div style=""font-size:72px;"">
        <p>DOMINICAN REPUBLIC</p>
        </div>","0","",""
"","","","","","html-keyboard-response","84","329469","0.0-11.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","85","330734","0.0-11.0-1.2","null","img/bz.png","null","study_pic","BELIZE"
"","","","","","html-button-response","86","331348","0.0-11.0-2.2","612","<div style=""font-size:72px;"">
        <p>BELIZE</p>
        </div>","0","",""
"","","","","","html-keyboard-response","87","331860","0.0-11.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","88","333120","0.0-11.0-1.3","null","img/ad.png","null","study_pic","ANDORRA"
"","","","","","html-button-response","89","333749","0.0-11.0-2.3","628","<div style=""font-size:72px;"">
        <p>ANDORRA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","90","334262","0.0-11.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","91","335529","0.0-11.0-1.4","null","img/cz.png","null","study_pic","CZECHIA"
"","","","","","html-button-response","92","336356","0.0-11.0-2.4","825","<div style=""font-size:72px;"">
        <p>CZECHIA</p>
        </div>","0","",""
"","","","","","html-button-response","93","338395","0.0-12.0","2039","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","94","338901","0.0-13.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","95","340161","0.0-13.0-1.0","null","img/nl.png","null","study_pic","NETHERLANDS"
"","","","","","html-button-response","96","340540","0.0-13.0-2.0","377","<div style=""font-size:72px;"">
        <p>NETHERLANDS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","97","341050","0.0-13.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","98","342307","0.0-13.0-1.1","null","img/ge.png","null","study_pic","GEORGIA"
"","","","","","html-button-response","99","342757","0.0-13.0-2.1","449","<div style=""font-size:72px;"">
        <p>GEORGIA</p>
        </div>","0","",""
"","","","","","html-keyboard-response","100","343259","0.0-13.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","101","344524","0.0-13.0-1.2","null","img/bb.png","null","study_pic","BARBADOS"
"","","","","","html-button-response","102","344916","0.0-13.0-2.2","391","<div style=""font-size:72px;"">
        <p>BARBADOS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","103","345432","0.0-13.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","104","346690","0.0-13.0-1.3","null","img/la.png","null","study_pic","LAOS"
"","","","","","html-button-response","105","347324","0.0-13.0-2.3","631","<div style=""font-size:72px;"">
        <p>LAOS</p>
        </div>","0","",""
"","","","","","html-keyboard-response","106","347832","0.0-13.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","107","349085","0.0-13.0-1.4","null","img/kw.png","null","study_pic","KUWAIT"
"","","","","","html-button-response","108","349894","0.0-13.0-2.4","806","<div style=""font-size:72px;"">
        <p>KUWAIT</p>
        </div>","0","",""
"","","","","","html-button-response","109","351220","0.0-14.0","1325","<div style=""font-size:32px;"">
    <p>You can take a short break now.</p>
    <p>Please tap CONTINUE button when you are ready.</p>
    </div>","0","",""
"","","","","","html-keyboard-response","110","351729","0.0-15.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-keyboard-response","111","352984","0.0-15.0-1.0","null","img/cf.png","null","study_pic","CENTRAL AFRICAN REPUBLIC"
"","","","","","html-button-response","112","353932","0.0-15.0-2.0","946","<div style=""font-size:72px;"">
        <p>CENTRAL AFRICAN REPUBLIC</p>
        </div>","0","",""
